acronym,title,rank,url,source
AIED,International Conference on Artificial Intelligence in Education,A,https://aied2025.itd.cnr.it/,ddg
AISTATS,International Conference on Artificial Intelligence and Statistics,A,https://aistats.org/aistats2025/index.html,aideadlines
ALENEX,Workshop on Algorithm Engineering and Experiments,A,https://www.myhuiban.com/conference/980?lang=en_us,ddg
APPROX/RANDOM,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,A,https://research.com/conference/international-conference-on-approximation-algorithms-for-combinatorial-optimization-problems-1,ddg
ASIACCS,"Asia Conference on Information, Computer and Communications Security",A,https://asiaccs2025.hust.edu.vn/,ddg
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,https://www.iacr.org/meetings/asiacrypt/,ddg
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,A,https://assets-conference.github.io/assets2024/,ddg
BMVC,British Machine Vision Conference,A,https://bmvc2024.org/,aideadlines
BPM,International Conference in Business Process Management,A,https://bpm-conference.org/,ddg
CADE,International Conference on Automated Deduction,A,https://cadeinc.org/,ddg
CAISE,International Conference on Advanced Information Systems Engineering,A,https://caise26.polimi.it/,ddg
CCC,IEEE Conference on Computational Complexity,A,https://ccc.nlc.org/,ddg
CGO,International Symposium on Code Generation and Optimization,A,https://2026.cgo.org/,ddg
CHES,Workshop on Cryptographic Hardware and Embedded Systems,A,https://www.chesontario.com/,ddg
CIDR,Conference on Innovative Data Systems Research,A,https://www.cidrdb.org/,ddg
CIKM,ACM International Conference on Information and Knowledge Management,A,https://cikm2024.org/,aideadlines
CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A,https://www.sigcomm.org/events/conext-conference,ddg
CP,International Conference on Principles and Practice of Constraint Programming,A,https://www.a4cp.org/events/cp-conference-series,ddg
CSCW,ACM Conference on Computer Supported Cooperative Work,A,https://cscw.acm.org/2024/,aideadlines
CSF,IEEE Computer Security Foundations Symposium (was CSFW),A,https://csf2024.ieee-security.org/,ddg
DATE,"Design, Automation and Test in Europe Conference",A,https://www.date-conference.com/information,ddg
DIS,Designing Interactive Systems,A,https://web.cvent.com/event/8c0d5ec9-5af9-406a-9be9-5d5b78558524/summary,ddg
DISC,International Symposium on Distributed Computing (was WDAG),A,https://research.com/conference/disc-2021-international-symposium-on-distributed-computing-1,ddg
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,https://2019.dsn.org/,ddg
EACL,European Association for Computational Linguistics,A,https://2024.eacl.org/,aideadlines
EASE,International Conference on Evaluation and Assessment in Software Engineering,A,https://ease.org.uk/,ddg
ECAI,European Conference on Artificial Intelligence,A,https://www.ecai2024.eu/,aideadlines
ECIR,European Conference on Information Retrieval,A,https://ecir2025.eu/,aideadlines
ECML PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),A,https://2024.ecmlpkdd.org/,aideadlines
ECOOP,European Conference on Object-Oriented Programming,A,https://2026.ecoop.org/home/,ddg
ER,International Conference on Conceptual Modelling,A,https://er2020.big.tuwien.ac.at/,ddg
ESA,European Symposium on Algorithms,A,https://esa.org/events/,ddg
ESEM,International Symposium on Empirical Software Engineering and Measurement,A,https://www.esemconference.ae/,ddg
ESOP,European Symposium on Programming,A,https://www.esopassociation.org/events/national-conference,ddg
ESORICS,European Symposium On Research In Computer Security,A,https://esorics2025.sciencesconf.org/,ddg
EUROS&P,IEEE European Symposium on Security and Privacy,A,https://eurosp2025.ieee-security.org/,ddg
EUROSYS,Eurosys Conference,A,https://2027.eurosys.org/,ddg
FAST,Conference on File and Storage Technologies,A,https://www.usenix.org/conference/fast25,ddg
FC,Financial Cryptography and Data Security Conference,A,https://research.com/conference/fc-2021-international-conference-on-financial-cryptography-and-data-security,ddg
FOGA,Foundations of Genetic Algorithms,A,https://dlnext.acm.org/conference/foga/proceedings?cookieSet=1,ddg
FPGA,ACM Int'l Symposium on Field Programmable Gate Arrays,A,https://www.fpga-conference.eu/get-tickets,ddg
GD,Graph Drawing,A,https://blog.general-devices.com/gd-attends-annual-penn-state-ems-conference,ddg
GECCO,Genetic and Evolutionary Computations,A,https://gecco-2026.sigevo.org/homepage,ddg
HOTOS,USENIX Workshop on Hot Topics in Operating Systems,A,https://www.sigops.org/s/conferences/hotos/2025/,ddg
HPDC,ACM International Symposium on High Performance Distributed Computing,A,http://www.hpdc.org/,ddg
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,https://iccad.com/2026/events/iccad-2024,ddg
ICDAR,IEEE International Conference on Document Analysis and Recognition,A,https://icdar2026.org/,ddg
ICDCS,International Conference on Distributed Computing Systems,A,https://icdcs2026.icdcs.org/,ddg
ICDT,International Conference on Database Theory,A,https://sidicdt.org/en/,ddg
ICER,International Computing Education Research Workshop,A,https://sigcse.org/events/icer/,ddg
ICFP,International Conference on Functional Programming,A,https://theicfp.org/,ddg
ICME,IEEE International Conference on Multimedia and Expo,A,https://2021.ieeeicme.org/,aideadlines
ICPC,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",A,https://icpc-conference.org/,ddg
ICS,ACM International Conference on Supercomputing,A,https://www.ics-conference.org/,ddg
ICSA,International Conference on Software Architecture (was previously WICSA),A,"https://www.icsa-sociology.org/conferences-1/2026-icsa-annual-conference-(aug.-7,-2026)",ddg
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",A,https://icsme.github.io/,ddg
ICSOC,International Conference on Service Oriented Computing,A,https://icsoc2025.hit.edu.cn/,ddg
ICST,"International Conference on Software Testing, Verification and Validation",A,https://conf.researchr.org/home/icst-2025,ddg
ICWS,IEEE International Conference on Web Services,A,https://services.conferences.computer.org/2026/icws/,ddg
ICWSM,International Conference on Web and Social Media,A,https://www.icwsm.org/2022/index.html/,aideadlines
